customer_id,customer_name,email,phone,city,state,signup_date,membership_tier,marketing_opt_in
53,crystal roberts,aaronjohnson@example.net,539-266-0558,Lake Juan,WY,2025-07-11,Gold,
54,JOSHUA WANG,jenningsmatthew@example.net,001-290-423-5577,Mooremouth,MH,2021-01-30,Standard,
55,Julia Olsen,conleykevin@example.net,+1-858-480-3955x12405,Lopezville,VI,2025-11-13,Standard,False
56,Scott Mckinney,robert73@example.com,243.984.2150x317,East Matthew,NJ,2025-05-15,Standard,True
57,Patricia Thomas,shortsharon@example.net,(230)376-8104,Steventon,CT,2025-01-26,Standard,False
58,Emily Lane,danielle35@example.org,444.685.7142,North Susanside,NY,2023-10-20,Standard,False
59,Kirsten Nelson,audrey21@example.com,+1-358-870-2070x160,Whiteshire,SC,2021-04-16,Gold,True
60,Lisa Edwards,jenniferlambert@example.net,979-921-7174,East Douglas,MH,2025-09-10,Standard,False
61,Jenna Lyons,kristina57@example.com,7174157724,South Lisaville,MD,2024-05-18,Standard,False
62,Eric Murray,pallen@example.net,(776)515-3966,Lake Elizabeth,WA,2024-01-06,Silver,True
63,KATELYN VARGAS,gnguyen@example.com,(946)219-1965,East Lisashire,MH,2026-04-06,Silver,
64,Nicole Guerrero,yschmidt@example.net,001-773-335-4946,New Valeriefurt,PR,2025-03-16,Standard,True
65,Jacob Dunn,smithann@example.com,840-836-9656,Gardnerburgh,NJ,2021-06-10,Standard,
66,Sarah Ward,qmoore@example.org,(401)802-7621,Englishchester,RI,2021-07-05,Standard,False
67,Kristen Cole,jeremiah69@example.org,001-273-284-6895,Bushville,OR,2021-10-03,Gold,
68,Brenda Simon,steven18@example.net,737-218-9490,Gibsonfort,OK,2023-07-26,Silver,False
69,Tyler Yates,gary94@example.net,001-240-679-2904,Millerhaven,CA,2025-01-29,Standard,
70,Casey Campbell,alexis19@example.org,001-227-752-4372,East Caitlinberg,MP,2025-10-14,Standard,True
71,Patricia Young MD,jasonnavarro@example.com,9415027674,Vegafurt,NJ,2023-08-27,Silver,False
72,Jessica Roberts,ureyes@example.net,+1-801-985-6945x44149,Lake Emily,WI,2022-04-02,Silver,
73,Michael White,chambersmarie@example.org,(218)517-5344x30091,Lake Susanland,PR,2021-11-05,Standard,False
74,Phillip Wong,pauladominguez@example.com,871-774-6542x1406,West Stephanieview,HI,2024-04-21,Silver,
75,Timothy Bishop Jr.,irodriguez@example.com,691.974.1011,South Eduardotown,AZ,2023-04-27,Standard,
76,Michael Conway,robertsonshelby@example.com,766.618.3067x1985,Brownland,MN,2024-08-30,Standard,False
77,ANGELA STEVENS,deborah28@example.org,(234)561-5717x3203,Priceside,SD,2023-11-19,Gold,True
78,SANDRA COLE,johnsonbrian@example.net,5613387829,Lake Donaldtown,NJ,2022-07-10,Standard,
79,Dana Banks,jacksonbrendan@example.com,579-329-1117,South Matthew,MP,2026-02-13,Gold,
80,Erika Daugherty,marcoconnell@example.org,001-909-525-1142x62582,East Craigfurt,WI,2026-07-27,Silver,
81,ANGELA SMITH,mannbrittney@example.com,(472)932-4876x32909,Lake Margaretport,MI,2021-08-15,Silver,False
82,Cheryl Downs,montgomerymichelle@example.net,237.734.0312x77220,Jasonview,MA,2023-03-10,Standard,
83,Jody Garcia,buckleygregory@example.org,381.713.7995x6353,North Joel,MT,2024-05-18,Standard,True
84,DANIEL RUIZ,bbrown@example.org,797.626.5273,West David,UT,2025-11-23,Standard,False
85,Brian Owens,vjackson@example.org,992-992-9831x6873,Alexischester,WA,2024-02-02,Silver,True
86,jeffrey walker,robinvillanueva@example.com,3079806867,Allenside,WV,2025-11-29,Silver,True
87,Tiffany Anderson,john10@example.com,+1-242-379-9077x26257,Barrymouth,NC,2020-10-01,Silver,False
88,derrick shah,kristinmiller@example.com,001-408-350-1657x9055,East Tina,IA,2020-11-14,Gold,
89,nancy goodwin,karenhodges@example.com,(348)964-0155x778,Shannonstad,AS,2023-11-30,Platinum,False
90,Vanessa Ware,patriciaellis@example.org,(224)611-2412x7238,Montesside,DC,2024-09-18,Gold,True
91,Oscar Smith,bryanwiggins@example.org,456.695.5798x87749,Port Jordan,NJ,2023-07-09,Standard,False
92,Ryan Hernandez,stephen29@example.org,001-484-922-2231x059,Mikeborough,OH,2022-11-28,Platinum,
93,vanessa hernandez,kfernandez@example.net,610-967-2752x0885,Tarashire,TN,2024-12-02,Silver,True
94,Susan Ramos,dennisrachel@example.org,+1-581-540-6937x51509,Jamesland,ND,2021-07-23,Gold,True
95,Tina Daugherty,ulee@example.net,+1-780-756-2656x504,Tiffanyside,CO,2025-10-09,Silver,
96,Natalie Perry,zroberts@example.net,(862)399-1234x78519,South Danielleview,MT,2021-12-20,Standard,True
97,Keith Melendez,jacobjames@example.net,604.994.7873x0024,Lake Elizabethport,MT,2021-09-22,Standard,
98,Maria Johnson,trevor19@example.net,(697)496-4715x890,East Luisberg,MI,2021-10-02,Standard,False
99,Jason Barr,brandon48@example.net,783-621-9285,Ginastad,CT,2021-08-27,Platinum,
100,Charles Taylor,nathan76@example.com,(313)828-3389,Moonville,GU,2023-11-19,Gold,False
101,Gregory Vazquez,lisapreston@example.net,352.840.1322x34232,North Andrewfort,WV,2021-06-18,Gold,False
102,Andrew Keller,harrisonrebekah@example.org,440-711-9393,North Dustinview,OR,2023-04-07,Gold,
103,Jonathan Chandler,williamjones@example.net,001-408-933-4280x13875,East Maryfurt,NE,2022-10-06,Silver,True
104,brian rollins,owensapril@example.com,001-954-580-1571x64794,Robertschester,ID,2021-12-17,Standard,
105,Rebekah Crosby,harry71@example.com,581.712.6691x215,New Megan,MO,2025-10-26,Silver,False
106,Molly Ramirez,,001-499-946-5796x784,North Johnfort,IN,2021-05-31,Gold,
107,Brett Brown,jimenezanthony@example.org,(695)924-9911x8773,Wagnerside,MA,2024-06-12,Silver,False
108,Alicia Gallagher,hbeard@example.com,856.477.0028x427,Jenniferfort,WV,2025-07-14,Standard,True
109,Mary Jennings,kalvarez@example.net,7642796954,New Brandonstad,MI,2021-05-01,Gold,True
110,Pamela Garrett,wdavis@example.com,(250)733-3491x14152,South Dianechester,OK,2025-07-14,Silver,
111,Alex Harrison,odomnicholas@example.com,891-571-3578x52945,Reidland,MP,2023-10-07,Standard,True
112,Derek Evans,nballard@example.net,991-895-4198,West Laura,SD,2025-10-11,Standard,
113,Elizabeth Alvarado,james64@example.net,878.220.8297x37489,West Steven,IA,2025-08-14,Gold,True
114,Elizabeth Graham,michelle13@example.com,542-649-3631x230,Washingtonchester,NE,2021-07-30,Silver,True
115,Christopher Taylor,kristine48@example.org,+1-807-400-1594x1651,North Ashley,NY,2024-07-23,Gold,False
116,SANDRA HERRING,tyler13@example.net,355-496-3632,West Scott,KS,2026-04-10,Silver,True
117,JOSEPH LYONS,stewartrodney@example.net,242.257.5409,West Angela,ME,2025-11-08,Platinum,
118,Stephanie Jennings,miaprice@example.com,341-934-3275x604,Mclaughlinmouth,VT,2024-07-05,Silver,True
119,Ashlee Martin,william56@example.net,001-785-370-0272x0634,East Johnberg,PR,2023-03-18,Standard,True
120,Todd Hayes,jorgemcdaniel@example.com,531-365-2669x3008,Gonzalezburgh,AR,2024-03-29,Standard,True
121,David Davis,george91@example.org,001-886-477-1333x447,Gatesborough,GU,2023-01-31,Silver,True
122,jennifer ortiz,anthonycherry@example.org,+1-573-859-7107x256,Fitzgeraldview,CA,2022-05-17,Standard,
123,GARY YOUNG,wendy90@example.org,689-464-6528x092,Conradmouth,DC,2021-03-31,Standard,
124,Jessica Green,bradley27@example.com,001-456-944-9485x6257,East Edgarbury,HI,2021-03-19,Standard,
125,Michael Graham,wwilliams@example.net,+1-577-671-2151,Port Gary,NY,2020-11-21,Standard,False
126,Mary Lewis,foxashley@example.com,737-315-0416,Ericland,NH,2025-08-12,Silver,False
127,JORDAN MOSES,riverabradley@example.net,859.323.0450x189,Scottbury,WI,2025-08-29,Silver,True
128,Samuel Martin,wmitchell@example.net,(314)776-4925,South Sean,MS,2025-11-14,Silver,False
129,Jenny Avila,christina66@example.org,3856732788,Kimfort,ME,2023-07-15,Silver,True
130,Steven Skinner,dphillips@example.net,608-718-6617,Brendahaven,AK,2021-07-26,Gold,
131,Cassie White,awilliams@example.net,659-377-9452x3219,Fergusontown,MO,2021-05-11,Standard,False
132,John Holt,nturner@example.com,001-564-912-2031x030,Lake John,MP,2021-05-17,Standard,False
133,Cheryl Turner,bhernandez@example.org,522-577-7079,Ashleyfurt,AR,2024-06-07,Gold,True
134,RYAN REYNOLDS,vallison@example.net,+1-284-207-6789x973,Rayside,CA,2022-09-05,Standard,
135,Stacy Wilson,shane60@example.org,637-857-3839x5972,Whitakerstad,WY,2022-04-14,Silver,
136,Carla Clark,estradadavid@example.org,(297)216-7433,Nicolestad,TX,2023-07-06,Gold,False
137,Stephanie Johnson,morgandaniel@example.org,683-474-5508,Lake Brentmouth,AS,2021-08-17,Silver,False
138,Ashley Rodriguez,colonbobby@example.org,(313)452-4787,Matthewberg,DE,2023-06-03,Standard,True
139,Jason Mack,marywells@example.com,821.845.6532x86326,Cranehaven,WY,2025-10-08,Standard,True
140,Jessica Carrillo,millerleroy@example.org,(706)202-9084x66845,Rachelberg,UT,2024-10-08,Gold,
141,Stacy Weber,zterry@example.net,(334)610-8562x8843,Katherineburgh,AK,2023-02-06,Silver,
142,Leslie Allen,jessica81@example.net,6542851017,Morganbury,AS,2020-11-04,Standard,False
143,Michelle Pineda,michaelmitchell@example.net,001-526-783-1589,Garciachester,MP,2025-02-24,Silver,True
144,Jeffery Anderson,seanwood@example.net,(498)486-4976x7762,Dawsonberg,VT,2023-02-24,Silver,True
145,Melissa Gibson,francissherry@example.com,496-311-5940,Kevinstad,ME,2023-10-03,Standard,False
146,Charles Bowers,twilliams@example.com,827.901.8510,Arielmouth,WY,2022-06-10,Standard,True
147,sandra anderson,williammurray@example.com,+1-972-651-9966x36580,Port Gabrieltown,OK,2022-12-10,Standard,False
148,Ellen Brewer,leechristine@example.net,001-509-983-7801x82043,Port Amandamouth,MO,2024-06-16,Silver,True
149,Timothy Morgan Jr.,heathlogan@example.com,311-482-4224,Stephanieburgh,AR,2024-03-17,Silver,
150,alexander brown,jgarcia@example.com,346-610-3399x37886,West Stevenchester,CA,2024-05-12,Silver,True
151,David Mercado,angela91@example.org,001-582-849-6718x32582,Williamsmouth,MP,2023-08-01,Silver,False
152,carol brown,qnelson@example.net,(853)398-4028x9141,Lake Angela,KY,2024-05-26,Standard,False
153,Jonathan Pham,cynthia74@example.org,+1-455-837-9502x09700,Farmerside,CO,2025-12-12,Silver,False
154,ANGELA JOHNSON,wchambers@example.com,+1-256-620-1753x703,Jamesport,AS,2025-05-26,Standard,True
155,johnny cox,trevor93@example.org,561.449.8728,New Davidland,DC,2024-12-25,Standard,False
156,Crystal Mills,james08@example.net,987-906-0566x418,Zacharyton,FM,2022-03-27,Standard,False
157,Thomas Patel,adam35@example.org,001-603-361-3325,North Timothytown,OR,2025-01-01,Silver,False
158,SARA WRIGHT,vallen@example.org,883-719-9717x91100,Port Davidmouth,AR,2025-06-17,Standard,
159,andrea byrd,phillipspatrick@example.org,+1-363-799-0767x699,South Zacharyshire,ID,2022-06-26,Silver,True
160,Micheal Watkins,rebeccamartinez@example.net,656-879-7232x002,Larryside,WI,2021-04-28,Standard,
161,Larry Carter,holmesdiane@example.org,5383806533,Jaimefort,UT,2021-07-20,Platinum,
162,Michael Christian,christina65@example.org,570-573-0337,Navarromouth,AS,2024-10-29,Standard,
163,Clinton Fritz,alejandro50@example.net,524-573-9500,Grantview,VA,2025-02-12,Platinum,
164,Danielle Gonzalez,meganlozano@example.org,+1-826-315-3473x55289,East Nicoleberg,WY,2021-09-21,Standard,
165,Melissa Stewart,prowland@example.org,001-999-538-4253x04289,Port Thomasland,GA,2021-10-24,Platinum,False
166,maria hicks,lstone@example.com,001-558-577-7496x903,Royfurt,IL,2023-09-23,Standard,False
167,Laura Walls,jonathan12@example.org,978-853-9078x9567,Richardsonfort,MD,2022-07-06,Standard,True
168,JEREMY BAKER,howardchristopher@example.net,781.643.1115x08353,Julieview,ID,2022-04-25,Standard,True
169,Dr. Nicole Singh DVM,carrillojuan@example.com,(969)907-8263x3373,Latoyamouth,PR,2024-11-28,Silver,
170,Melissa Clark,bfarrell@example.com,(892)840-7553,Farmerside,ME,2021-10-20,Silver,False
171,Richard Weeks,tiffanygamble@example.net,+1-399-796-6361x8637,Fowlerport,CO,2022-08-19,Standard,False
172,cassandra serrano,mjohnson@example.org,(743)834-8170x5802,Mooreville,DC,2021-09-14,Standard,
173,Benjamin Friedman,davidharris@example.com,001-272-499-4938x743,Brownfurt,PA,2023-11-23,Standard,False
174,Susan Suarez,cford@example.net,547-454-6926,Ellisburgh,UT,2025-07-10,Silver,True
175,Tracy Allen,joshuafuller@example.com,+1-413-676-8151x18567,New Bradley,AK,2024-02-02,Standard,
176,Nicole James,zfoley@example.org,3415257771,Taylorview,MP,2021-02-11,Platinum,
177,Lisa Thompson,nicholspeter@example.org,+1-304-827-5230x83708,Scotttown,AR,2021-08-23,Standard,False
178,Tanya Brooks,jamessmith@example.org,8533131220,Marcusborough,RI,2025-04-24,Standard,
179,Teresa Martinez,danielmorris@example.org,(550)863-7314x9501,Katrinafort,CT,2021-12-02,Silver,True
180,Tammy Carroll,susan95@example.net,001-962-852-5715x099,New Briana,AL,2024-12-13,Silver,
181,STEPHANIE PARKER,ntodd@example.org,2255743263,Stevensonmouth,DC,2022-01-26,Standard,True
182,Paige Meyer,swong@example.org,855.733.8033,South Crystal,CA,2022-05-06,Gold,False
183,Corey Walters,shawnamartinez@example.org,001-483-538-1674,South Gregory,IA,2025-11-23,Standard,True
184,Tracy Harris,xmiller@example.com,(327)676-8962x7066,New Jessica,KS,2022-06-30,Standard,
185,Douglas Hart,ijones@example.net,832.930.0857x6665,Danielleshire,CA,2022-12-16,Standard,True
186,Thomas Cruz,jamesgraham@example.com,001-458-675-0663x37050,Blackburnberg,KS,2023-02-17,Gold,
187,Mary Martin,wisedawn@example.com,(691)883-6264x4886,North Daisystad,GU,2022-02-28,Standard,False
188,Tara Sanders,adam27@example.org,716-486-4622,East Tom,NY,2021-07-13,Standard,True
189,Robert Lopez,bradylisa@example.org,367-791-2141x614,New Jimmyfort,TX,2026-05-15,Gold,False
190,Derek Moses,davisalexa@example.org,(598)747-7596x5555,Grayton,MI,2025-03-29,Silver,False
191,April Harrell,ihardy@example.org,+1-218-743-5797x863,Lake Michaelton,AS,2025-11-30,Standard,
192,Cynthia Washington,baileysheila@example.com,+1-616-949-3289x80271,South Stephanie,NJ,2025-02-02,Gold,
193,Daniel Mullins,garciavictoria@example.org,(956)343-4712,Monicashire,WI,2024-08-26,Standard,True
194,Greg Kent,yvaldez@example.net,(733)441-4111x59319,Stephanieshire,WA,2026-03-22,Standard,False
195,JOSEPH BOONE,xflores@example.net,(989)793-1608,Port Sherri,MP,2020-09-07,Gold,False
196,Brittany Campbell,georgekyle@example.net,749-473-7460,Port Jessica,AS,2021-12-27,Standard,False
197,Tammy Parsons,,364.620.8656x7566,Heatherborough,UT,2022-01-10,Gold,
198,Carlos Goodwin,hornjenna@example.com,+1-329-427-7423x3305,Clementschester,TX,2025-10-24,Standard,False
199,Anne Mccann,sierrawilson@example.net,+1-459-862-6301x3674,Port Stevenfurt,KY,2025-09-22,Standard,True
200,adam wilson,burnselizabeth@example.net,409.899.7419,Cookechester,ME,2024-06-21,Standard,
201,Arthur Stout,richardhaynes@example.com,+1-588-371-8981,Port Carol,HI,2024-02-08,Standard,True
202,ERNEST WILLIAMS,denisemiller@example.com,001-601-918-4582x60340,New Tracy,MD,2020-09-15,Silver,False
203,MRS. KIMBERLY CLARK,batesbradley@example.org,724.632.9839,Lake Cindy,CA,2023-10-24,Standard,
204,MATTHEW MARTIN,qmiller@example.net,(728)831-4359x89262,Johnsonbury,CA,2023-12-23,Standard,True
205,melinda russell,danielle55@example.com,(334)401-6361,Briannafort,CT,2022-04-19,Silver,True
206,sharon arnold,mosleygeorge@example.com,(658)289-6792,Lake David,MS,2023-11-07,Standard,
207,Thomas Fowler,jasmine39@example.com,001-672-375-7844x683,Richardmouth,PR,2024-01-31,Standard,False
208,NICHOLAS DUFFY,barbaramiller@example.com,+1-370-868-2778,New Jamestown,VT,2021-03-20,Standard,
209,HALEY GAMBLE,lawsontami@example.net,001-783-321-5285x06762,Robinbury,MP,2023-03-24,Standard,
210,Bailey Evans,joseph09@example.com,248.907.9705,Kennethville,AL,2023-11-29,Silver,True
211,JENNIFER SMITH,fvasquez@example.net,826.417.0243x76545,Danielmouth,TN,2022-10-10,Gold,True
212,Hector Hamilton,nicole31@example.org,902-966-5023x7416,West Karen,WI,2025-09-17,Standard,True
213,tammy cameron,ganderson@example.org,(225)880-3056,Robertsfort,CO,2025-12-19,Standard,False
214,Christian Dixon,juanwilson@example.com,001-536-337-1892x392,South Benjamin,ID,2025-03-29,Standard,False
215,Luis Davis,jamesalicia@example.net,+1-733-656-7086x0414,Jenniferbury,MD,2026-04-02,Standard,
216,Aaron Guerrero,jason74@example.net,362-247-5541,West Michael,AS,2026-01-18,Gold,False
217,Kendra Watson,jason61@example.org,(391)709-3371,Jessicaborough,ND,2022-11-05,Standard,False
218,Corey Pierce,patricia85@example.com,416.617.6880x294,New Bruceborough,WA,2024-12-31,Standard,False
219,Joseph Palmer Jr.,ychristensen@example.net,001-966-694-3202x93908,Melissaport,VT,2025-07-25,Standard,False
220,DANNY FERGUSON,benjamin24@example.org,603-438-1059x551,Villanuevaport,MD,2022-04-15,Gold,
221,Alexandra Kelly,gregory08@example.net,001-891-464-9837x35439,Hallchester,MN,2026-08-03,Standard,False
222,Jon Stevens,jacobhenry@example.net,(340)442-2693,South Johnfurt,CT,2021-07-26,Standard,True
223,Paul Smith,grayandrew@example.org,001-502-431-4290x01851,Malonemouth,GU,2025-01-08,Standard,
224,Christopher Brown,courtney10@example.org,284-518-6203,Cruzstad,SD,2021-08-27,Silver,False
225,Melinda Mcdaniel,vasquezvicki@example.org,245-419-5151,South Alyssa,PA,2022-05-25,Standard,
226,Steven Mcdaniel,michael14@example.com,+1-854-610-2252x67711,North Marcus,DC,2021-10-06,Standard,
227,Francisco Coleman,oguzman@example.com,(536)868-7887,New Jenniferhaven,OK,2021-10-07,Silver,
228,Colleen Miller,aaron05@example.net,521.505.5247x2863,Lake Devinberg,MS,2025-05-03,Standard,True
229,Jessica Brown,batescharles@example.net,(802)452-1310,South Julia,WA,2025-01-27,Standard,True
230,JULIE SHARP,sharrington@example.org,612-600-9282x0667,South Sarah,KY,2023-11-04,Standard,
231,Vanessa Martinez,richardbrown@example.com,(489)217-7566,Deborahborough,KY,2026-07-08,Standard,
232,Larry Bradford,allenfrancisco@example.org,539-604-3830,New Annetteshire,WY,2021-04-29,Standard,True
233,Brandon Parker,karen68@example.org,965-221-5681x82096,Evanmouth,CO,2023-07-31,Standard,
234,Nathan Wilkerson,kaylamartin@example.net,598.357.2545x96063,New Courtney,NM,2025-12-27,Silver,
235,Randall Collins,portershawn@example.org,621-949-5511x2747,North Teresa,NM,2021-04-05,Silver,
236,Jennifer Vincent,scotthunt@example.net,351-668-7409x03802,Moorefurt,PR,2020-11-29,Standard,True
237,Joel Davis,imcdonald@example.com,312-716-6365,Wendyfort,IL,2021-02-10,Standard,
238,Donald Johnson,stacythomas@example.org,690-696-0567x30306,North Donald,KY,2024-11-21,Silver,True
239,MICHAEL SAVAGE,elizabethgreen@example.org,965-442-3567,Gomezshire,MS,2023-02-08,Silver,False
240,Stephanie Gonzalez,mariodowns@example.net,001-950-427-2751x6480,Fowlershire,CT,2025-08-13,Standard,False
241,Chelsea Horton,carolynrobinson@example.org,390.955.0448,Gutierrezstad,MI,2020-11-22,Standard,
242,William Rogers,stephenbrooks@example.net,+1-328-266-4649x111,Garciaside,CT,2025-08-24,Standard,True
243,Renee Contreras,xlewis@example.com,+1-861-237-1576,Kimberlyhaven,LA,2024-06-23,Standard,
244,Elizabeth Orr,anunez@example.com,4008258955,New Teresa,ID,2022-04-13,Standard,True
245,Anthony Frederick,oanderson@example.com,001-826-658-2631x2819,West James,CO,2024-05-16,Standard,False
246,randy hernandez,armstronganthony@example.net,(575)823-3438,Donnaview,CO,2020-10-30,Silver,
247,Margaret Riley,rodriguezsara@example.org,524-842-1175,South Laurachester,CA,2026-04-15,Silver,
248,CHRISTINE BARNES,cynthia72@example.org,202-499-0155x7998,Saraborough,PA,2023-08-06,Standard,
249,Jorge Hernandez,danny30@example.com,(731)624-4731,Mcgeefort,NE,2020-11-07,Silver,
250,Corey Thompson,suzanne19@example.net,823-876-7694x5919,New Michael,MH,2023-10-02,Standard,False
251,Christopher Johnson,brenda49@example.net,756.401.2562x53135,Davidmouth,UT,2024-06-21,Standard,True
252,John Pope,annacruz@example.net,883.818.4919,Lisaborough,ID,2020-09-27,Standard,False
253,Anthony Hill Jr.,ujackson@example.net,(239)704-0907x4260,North Terrychester,VA,2020-12-21,Silver,False
254,Gregory Miller,troy06@example.com,001-377-715-9103x002,Perezland,ID,2022-06-25,Silver,False
255,Rose Medina,villamiranda@example.com,6104414596,New Steven,DC,2025-01-08,Standard,True
256,Kevin Horn,qwalsh@example.org,783.597.7457x31441,Lake Christian,NM,2022-08-04,Standard,True
257,Daniel Cardenas,tonypeterson@example.net,001-588-854-7281x23567,North Joshua,GA,2021-01-14,Standard,True
258,Laura Garcia,vwalter@example.org,707.624.0787,New Christopherchester,IL,2024-10-17,Standard,True
259,KATIE BROWN,mitchell06@example.net,(234)536-2948x97861,East Dariuston,OK,2021-07-31,Standard,True
260,Brian Perez,gmyers@example.org,001-947-632-3549x4012,East Leslie,CA,2022-04-10,Standard,
261,Jesse Rivers,,+1-276-950-2412x09579,South Daniel,GU,2021-09-04,Standard,True
262,Donna Perez,karirowe@example.org,657-775-8474x5705,Rodriguezhaven,VA,2020-10-12,Standard,False
263,JASON ROBINSON,michaeljohnson@example.net,001-665-731-3614x8782,Peterchester,KY,2024-07-07,Standard,False
264,JOSEPH COOPER,hamiltonspencer@example.com,910-672-7284x9824,Port Kennethmouth,AZ,2022-07-14,Silver,False
265,Becky Freeman,jordandonna@example.org,6424548821,South Brenda,CO,2021-12-24,Standard,True
266,Timothy Wright,ghenderson@example.com,594-629-6592x3426,Christophershire,SC,2022-06-03,Gold,True
